,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
192.22,8.009027778,7.009027778,1.15,0.82,-0.20,0.558950327,-0.58169467,0.738534941,,479.50,1.461156,0.379227903,,,,,217.18,0.20,-1.63,0.26,0.29,TL15,23/05/2013,18:00:00,31/05/2013,17:00:00,8,7,191.75,,
192.40,8.016666667,7.016666667,0.73,0.46,-0.78,0.56081166,-0.578370152,0.741161523,,527.50,0.700276,-0.356280736,,,,,218.10,0.26,-1.36,0.30,0.34,TL16_T00,23/05/2013,18:00:00,31/05/2013,17:45:00,8,7,193.75,,
192.58,8.024305556,7.024305556,0.80,0.57,-0.56,0.562678549,-0.575046774,0.743796653,,527.50,1.169933,0.156946482,,,,,218.42,0.30,-1.22,-,0.35,TL16_T01,23/05/2013,18:00:00,31/05/2013,19:45,8,7,195.75,,
192.72,8.029861111,7.029861111,0.70,0.52,-0.65,0.564039785,-0.572630489,0.745718494,,527.50,0.606266,-0.500436445,,,,,218.87,0.19,-1.65,0.28,0.33,TL16_T02,23/05/2013,18:00:00,31/05/2013,21:45,8,7,197.75,,
192.85,8.035416667,7.035416667,0.70,0.50,-0.70,0.565403971,-0.57021481,0.747644876,,527.50,0.722797,-0.324626871,,,,,219.93,0.23,-1.45,0.27,0.34,TL16_T03,23/05/2013,18:00:00,31/05/2013,23:45,8,7,175.75,,
214.68,8.945138889,7.945138889,0.66,0.50,-0.69,0.832053943,-0.183858005,1.130783019,,,,,,,,,239.08,0.20,-1.63,0.26,0.29,TL16_T04,23/05/2013,18:00:00,01/06/2013,01:45,9,8,201.75,,0.47
215.33,8.972222222,7.972222222,1.51,1.19,0.17,0.841414468,-0.172670913,1.144451828,,,,,,,,,239.50,0.30,-1.22,0.41,0.45,TL16_T05,23/05/2013,18:00:00,01/06/2013,03:45,9,8,203.75,,
215.92,8.996527778,7.996527778,1.67,1.41,0.34,0.849889822,-0.162648559,1.15683989,,,,,,,,,239.70,0.22,-1.51,0.28,0.32,TL16_T06,23/05/2013,18:00:00,01/06/2013,05:45,9,8,208.47,,
216.62,9.025694444,8.025694444,0.86,0.71,-0.35,0.860154212,-0.15064359,1.171857855,,,,,,,,,241.03,0.13,-2.08,0.17,0.21,TL17,23/05/2013,18:00:00,01/06/2013,10:28,9,8,209.63,0.752,
216.90,9.0375,8.0375,1.69,1.16,0.15,0.864338102,-0.145791266,1.177984031,,,,,,,,,241.03,0.16,-1.83,0.24,0.289,TL18,23/05/2013,18:00:00,01/06/2013,11:38,9,8,210.50,0.771,
